,cluster,min_sag,max_sag,min_axe,max_axe,min_cor,max_cor,num_vox,vol,action
0,0.0,111.0,115.0,141.0,144.0,124.0,131.0,35,brainmask,delete voxel
1,1.0,166.0,172.0,117.0,125.0,134.0,143.0,24,brainmask,delete voxel
2,2.0,135.0,135.0,125.0,127.0,135.0,137.0,7,brainmask,delete voxel
3,3.0,91.0,94.0,113.0,117.0,140.0,142.0,14,brainmask,delete voxel
4,4.0,127.0,128.0,123.0,127.0,140.0,143.0,16,brainmask,delete voxel
5,5.0,108.0,111.0,123.0,125.0,146.0,147.0,11,brainmask,delete voxel
6,6.0,159.0,161.0,124.0,126.0,148.0,148.0,6,brainmask,delete voxel
7,7.0,180.0,183.0,94.0,98.0,167.0,169.0,22,brainmask,delete voxel
0,-1.0,93.0,140.0,124.0,144.0,55.0,141.0,4,wm,delete voxel
1,0.0,83.0,90.0,135.0,140.0,63.0,67.0,43,wm,delete voxel
2,1.0,186.0,190.0,144.0,145.0,110.0,114.0,16,wm,delete voxel
3,2.0,150.0,156.0,126.0,131.0,133.0,136.0,53,wm,delete voxel
4,3.0,106.0,115.0,121.0,128.0,134.0,142.0,67,wm,delete voxel
0,,141.0,141.0,187.0,187.0,113.0,113.0,1,cp,added cp
1,,141.0,141.0,186.0,186.0,113.0,113.0,1,cp,added cp
2,,142.0,142.0,185.0,185.0,113.0,113.0,1,cp,added cp
3,,142.0,142.0,184.0,184.0,113.0,113.0,1,cp,added cp
4,,131.0,131.0,183.0,183.0,116.0,116.0,1,cp,added cp
5,,131.0,131.0,185.0,185.0,116.0,116.0,1,cp,added cp
6,,130.0,130.0,186.0,186.0,116.0,116.0,1,cp,added cp
7,,130.0,130.0,187.0,187.0,114.0,114.0,1,cp,added cp
8,,129.0,129.0,185.0,185.0,115.0,115.0,1,cp,added cp
9,,129.0,129.0,184.0,184.0,115.0,115.0,1,cp,added cp
10,,127.0,127.0,183.0,183.0,115.0,115.0,1,cp,added cp
11,,125.0,125.0,182.0,182.0,116.0,116.0,1,cp,added cp
12,,124.0,124.0,181.0,181.0,116.0,116.0,1,cp,added cp
13,,124.0,124.0,180.0,180.0,116.0,116.0,1,cp,added cp
14,,124.0,124.0,179.0,179.0,116.0,116.0,1,cp,added cp
15,,123.0,123.0,177.0,177.0,117.0,117.0,1,cp,added cp
16,,122.0,122.0,174.0,174.0,118.00003,118.00003,1,cp,added cp
17,,96.0,96.0,145.0,145.0,141.0,141.0,1,cp,added cp
18,,94.0,94.0,144.0,144.0,142.0,142.0,1,cp,added cp
